   ,PROPX,PROPY,PROPERTYROLL,STATUSCODE,status,PRSN,ADDRESS,bylaw,details,P4_DATE,P5_DATE,LIST_DATE,BYLAW_P4,BYLAW_P5,HERT_CONSERV_DISTRICT,INTENT_DATE,CONTRIBUTING
4178,311890.431,4835806.757,1.90E+18,1102,Part IV,223882,595 MARKHAM ST ,1433-2017,"City Council included 595 Markham Street on the City's Heritage Register November 3, 2015.  City Council stated its intention to designate April 26, 2017. Designating by-law 1433-2017 enacted December 8, 2017 by City Council.  Heritage Easement Agreement registered as Instrument No. AT4909679 on July 16, 2018.",08-Dec-17,,03-Nov-15,1433-2017,,,26-Apr-17,
4179,311888.851,4835811.698,1.90E+18,1102,Part IV,223883,597 MARKHAM ST ,1433-2017,"City Council included 597 Markham Street on the City's Heritage Register November 3, 2015. City Council stated its intention to designate April 26, 2017.  Designating By-law 1433-2017 enacted December 8, 2017 by City Council.  Heritage Easement Agreement registered as Instrument No. AT4909679 on July 16, 2018.",08-Dec-17,,03-Nov-15,1433-2017,,,26-Apr-17,
4180,311883.994,4835816.845,1.90E+18,1101,Listed,223884,599 MARKHAM ST ,,"City Council included 599 Markham Street on the City's Heritage Register November 3, 2015.",,,03-Nov-15,,,,,
4181,311885.042,4835821.715,1.90E+18,1101,Listed,223885,601 MARKHAM ST ,,"City Council included 601 Markham Street on the City's Heritage Register November 3, 2015.",,,03-Nov-15,,,,,
4182,312646.699,4836073.279,1.90E+18,1101,Listed,224474,371 BLOOR ST W,,"University of Toronto Schools (UTS) and Ontario Institute for Studies in Education of the University of Toronto (OISE/UT); 1910, Darling & Pearson, Architects: 1924; east wing, Darling & Pearson, architects; 1931, first west wing; 1949, second West Wing -",,,25-Mar-97,,,,,NA
4183,312788.991,4836001.786,1.90E+18,1102,Part IV,224491,383 HURON ST ,842-86,"St. Thomas's Church, 1892, Eden Smith; interior altered 1917, Eden Smith -adopted by City Council on August 18, 1976 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 17, 1986",17-Nov-86,,18-Aug-76,842-86,,,,NA
4184,312773.491,4836064.17,1.90E+18,1102,Part IV,224498,407 HURON ST ,1431-2012,"Thomas W.  Wilson House - City Council adopted Intention to Designate on June 8, 2010.  Designating By-law1431-2012 enacted by City Council November 1, 2012.",01-Nov-12,,,1431-2012,,,08-Jun-10,
4185,312862.526,4836018.497,1.90E+18,1102,Part IV,224511,150 ST GEORGE ST ,1359-2007,"William Crowther House & Carriage House, 1889; South Wing, 1960, Allward and Gouinlock; adopted by City Council on Feb. 16, 2005, Heritage Easement Agreement registered as Instrument No. AT1526190 on July 31, 2007; DESIGNATION BY-LAW ENACTED BY CITY COUNC",13-Dec-07,,16-Feb-05,1359-2007,,,17-Jul-07,NA
4186,311931.713,4835829.978,1.90E+18,1101,Listed,223890,760 BATHURST ST ,,"City Council included 760 Bathurst Street on the City's Heritage Register on November 3, 2015.",,,03-Nov-15,,,,,
4187,311949.15,4835828.825,1.90E+18,1101,Listed,223891,758 BATHURST ST ,,"City Council included 758 Bathurst Street on the City's Heritage Register on November 3, 2015.",,,03-Nov-15,,,,,
4188,311942.43,4835821.173,1.90E+18,1101,Listed,223892,756 BATHURST ST ,,"City Council included 756 Bathurst Street on the City's Heritage Register on November 3, 2015.",,,03-Nov-15,,,,,
4189,311960.861,4835793.326,1.90E+18,1102,Part IV,223894,746 BATHURST ST ,1437-2017,"City Council included this property on the City's Heritage Register on November 5, 2015. City Council stated its intention to designate April 26, 2017. Designation by-law 1437-2017 enacted December 8, 2017 by City Council.  Heritage Easement Agreement registered as Instrument No. AT4909678 on July 16. 2018.",08-Dec-17,,03-Nov-15,1437-2017,,,26-Apr-17,
4190,311962.272,4835788.624,1.90E+18,1102,Part IV,223895,744 BATHURST ST ,1437-2017,"City Council included 744 Bathurst Street on the City's Heritage Register November 3, 2015.  City Council stated its intention to designate April 26, 2017. Designation by-law 1437-2017 enacted December 8, 2017 by City Council. Heritage Easement Agreement registered as Instrument No. AT4909678 on July 16. 2018.",08-Dec-17,,03-Nov-15,1437-2017,,,26-Apr-17,
4191,311963.369,4835784.079,1.90E+18,1102,Part IV,223896,742 BATHURST ST ,1437-2017,"City Council included 740 and 742 Bathurst Street - (740 is the entrance address for 742 Bathurst Street) on the City's Heritage Register November 3, 2015.  City Council stated its intention to designate April 26, 2017.  Designation by-law 1437-2017 enacted December 8, 2017 by City Council.  Heritage Easement Agreement registered as Instrument No. AT4909678 on July 16. 2018.",08-Dec-17,,03-Nov-15,1437-2017,,,26-Apr-17,
4192,311965.563,4835777.341,1.90E+18,1102,Part IV,223897,738 BATHURST ST ,1437-2017,"City Council included 738 Bathurst Street on the City's Heritage Register November 3, 2015.
City Council stated its intention to designate April 26, 2017. Designating by-law 1437-2017 enacted December 8, 2017 by City Council. Heritage Easement Agreement registered as Instrument No. AT4909678 on July 16. 2018.",08-Dec-17,,03-Nov-15,1437-2017,,,26-Apr-17,
4193,312771.808,4835915.124,1.90E+18,1101,Listed,224547,386 HURON ST ,,"Chelsea Shop, 1888, at Sussex Ave. (NW) -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4194,312032.224,4835701.547,1.90E+18,1102,Part IV,223960,693 BATHURST ST ,81-2015,"Central Technical School, 1913-1915, Ross and Macdonald Architects; adopted by City Council on Dec. 5, 6, 7, 2005.  Council stated its intention to designate at its meeting of March 20, 2014.  Designation by-law 81-2015 enacted and passed December 11, 2014.

725 Bathurst Street is the structure address for 693 Bathurst Street.",11-Dec-14,,07-Dec-05,81-2015,,,20-Mar-14,NA
4195,311970.9,4835880.813,1.90E+18,1101,Listed,223963,791 BATHURST ST ,,"City Council included 791 Bathurst Street on the City's Heritage Register on November 3, 2015.",,,03-Nov-15,,,,,
4196,311970.238,4835883.486,1.90E+18,1101,Listed,223964,793 BATHURST ST ,,"City Council inlcuded the property at 793 Bathurst Street on the City's Heritage Register November 3, 2015.",,,03-Nov-15,,,,,
4197,312711.033,4835909.825,1.90E+18,1101,Listed,224552,36 SUSSEX AVE ,,"Robert McIndoe House; 1891, Beaumont Jarvis -adopted by City Council on June 9, 1976",,,09-Jun-76,,,,,NA
4198,312660.376,4835848.772,1.90E+18,1101,Listed,224565,671 SPADINA AVE ,,"House, 1909 -adopted by City Council on Feb. 6, 1974",,,06-Feb-74,,,,,NA
4199,312730.378,4835867.721,1.90E+18,1101,Listed,224573,33 SUSSEX AVE ,,"City Council listed 33 Sussex Avenue on the City's Heritage Register November 9, 2016.",,,09-Nov-16,,,,,
4200,312745.163,4835871.322,1.90E+18,1101,Listed,224575,29 SUSSEX AVE ,,"City Council listed 29 Sussex Avenue on the City's Heritage Register November 9, 2016.",,,09-Nov-16,,,,,
4201,312771.465,4835881.594,1.90E+18,1101,Listed,224576,21 SUSSEX AVE ,,"Sussex Court Apartments; 1903, J.A. Ellis, (later Hispanic Studies), at Huron St. (SW) -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4202,312753.095,4835831.2,1.90E+18,1101,Listed,224585,4 GLEN MORRIS ST ,,"St. Paul's Evan. Lutheran Church, 1913-14, M. Klein -adopted by City Council on June 9, 1976",,,09-Jun-76,,,,,NA
4203,311966.808,4835891.429,1.90E+18,1101,Listed,223965,795 BATHURST ST ,,"City Council included the property at 795 Bathurst Street on the City's Heritage Register November 3, 2015.
",,,03-Nov-15,,,,,
4204,312035.917,4835916.025,1.90E+18,1101,Listed,223974,539 BLOOR ST W,,"Canadian Bank of Commerce; 1914, V.C. Horsburgh, at Lippincott St. -adopted by City Council on Aug. 18, 1976",,,18-Oct-76,,,,,NA
4205,312729.462,4835777.732,1.90E+18,1102,Part IV,224594,15 GLEN MORRIS ST ,712-2017,"City Council included this property on the City of Toronto's Heritage Register April 27, 2017 and stated its intention to designate. Designation By-law 712-2017 enacted July 7, 2017.",07-Jul-17,,27-Apr-17,712-2017,,,27-Apr-17,
4206,313006.037,4835841.675,1904,1102,Part IV,224616,89 ST GEORGE ST ,176-76,"W.D. Matthews House: 1890, G.M. Miller; add. 1899 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on April 28, 1976 (Ontario Heritage Foundation Easement Agreement, Reg. on June 4, 1981) (designation plaque - 1979)",28-Apr-76,,20-Jun-73,176-76,,,,NA
4207,312983.672,4835851.436,1.90E+18,1101,Listed,224617,91 ST GEORGE ST ,,"House, 1892, J. McCabe, bldr. -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4208,312980.38,4835889.663,1.90E+18,1102,Part IV,224619,97 ST GEORGE ST ,1184-2009,"J. Downey House, 1888-89.  HEA Registered on Jan 21, 2010.",04-Dec-09,,20-Jun-73,1184-2009,,,,NA
4209,312943.565,4836085.837,1.90E+18,1106,Intention,224621,117 ST GEORGE ST ,,"Alexander McArthur House, 1891, David B. Dick; altered 1910-1911, F.S. Baker -adopted by City Council on June 20, 1973.  Council stated its intention to designate October 2, 2020.",,,20-Jun-73,,,,02-Oct-20,NA
4210,312920.207,4836086.57,1.90E+18,1101,Listed,224622,121 ST GEORGE ST ,,"John R. Bailey House, 1887-88, Langley & Burke, Add. 1911 -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4211,312907.77,4836109.858,1.90E+18,1101,Listed,224623,123 ST GEORGE ST ,,"T.M. Harris House, 1899, Burke & Horwood -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4212,312964.557,4836171.949,1.90E+18,1102,Part IV,224625,315 BLOOR ST W,949-2012,"Dominion Meteorological Building: 1907- 1908, Burke and Horwood -adopted by City Council on June 20, 1973.  City Council stated its intention to designate on July 6, 7 and 8, 2010. Designation By-law and authority to enter into a heritage easement agreement (By-law 948-2012), adopted by City Council July 13, 2012 ",13-Jul-12,,20-Jun-73,949-2012,,,08-Jul-10,NA
4213,313053.312,4835900.591,1.90E+18,1102,Part IV,224629,6 DEVONSHIRE PL ,130-90,"Massey College, 1961-63, Thompson, Berwick & Pratt, (Ron Thom, partner in charge) -adopted by City Council on May 2, 1983 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Feb. 20, 1990",20-Feb-90,,02-May-83,130-90,,,,NA
4214,313028.462,4835847.165,1.90E+18,1101,Listed,224630,50 HOSKIN AVE ,,"St. Thomas Aquinas Chapel, 1926, A.W. Holmes -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4215,313122.529,4835903.734,1.90E+18,1101,Listed,224631,3 DEVONSHIRE PL ,,"Devonshire House, 1907, Eden Smith, at Hoskin Av. (NE) -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4216,313166.41,4836217.678,1.90E+18,1102,Part IV,224634,273 BLOOR ST W,121-76,"McMaster Hall: 1880-1881; Langley, Langley and Burke; later known as Conservatory of Music; Castle Memorial Hall, 1901, Burke and Horwood; addition to south Pavillion, 1910 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCI",31-Mar-76,,20-Jun-73,121-76,,,,NA
4217,313193.033,4836248.404,1.90E+18,1101,Listed,224635,235 BLOOR ST W,,"Alexandra Gates: 1901; Chadwick & Beckett, Now located at Philosophers' Walk -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
4218,313324.905,4836214.435,1.90E+18,1102,Part IV,224637,100 QUEEN'S PARK  ,380-2003,"Royal Ontario Museum; 1910-14, Darling & Pearson; addition, 1931-32, Chapman & Oxley; Sculptor: Wm. Oosterhoff -adopted by City Council on June 20, 1973; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on May 23, 2003; Heritage Easement Agreement AT347470, reg",23-May-03,,20-Jun-73,380-2003,,,,NA
4219,313361.602,4836094.272,1.90E+18,1106,Intention,224638,84 QUEEN'S PARK  ,,"""Wymilwood"", 1901, Sproatt & Rolph for E.R. Wood -adopted by City Council on August 18, 1976.  Now known as Falconer Hall -   City Council stated its intention to designate October 30, 2020.",,,18-Aug-76,,,,30-Oct-20,NA
4220,313361.602,4836094.272,1.90E+18,1106,Intention,224638,84 QUEEN'S PARK  ,,"Edward Johnson Building. City Council included this property on the City of Toronto's Heritage Register October 30, 2020 and stated its intention to designate.",,,30-Oct-20,,,,30-Oct-20,
4221,313189.69,4835950.159,1.90E+18,1102,Part IV,224641,6 HOSKIN AVE ,466-88,"Trinity College; 1925, Darling & Pearson following original 1851 design of first Trinity College on Queen Street by Kivas Tully; Strachan Hall West Wing and east residence wing, 1941; north-east residence wing, 1955 by George and Moorehouse; chapel 1952 b",30-May-88,,20-Jun-73,466-88,,,,NA
4222,312200.706,4835962.017,1.90E+18,1101,Listed,224059,499 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -ADOPTED BY CITY COUNCIL ON JUNE 5 and 6, 1995",,,06-Jun-95,,,,,NA
4223,312203.572,4835973.288,1.90E+18,1101,Listed,224060,497 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13 -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4224,312211.815,4835965.171,1.90E+18,1101,Listed,224061,495 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4225,312216.947,4835966.621,1.90E+18,1101,Listed,224062,493 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4226,312222.657,4835968.25,1.90E+18,1101,Listed,224063,491 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -adopted by city council on June 5 and 6, 1995",,,06-Jun-95,,,,,NA
4227,312225.348,4835979.518,1.90E+18,1101,Listed,224064,487 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13 -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4228,312230.786,4835981.063,1.90E+18,1101,Listed,224065,485 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4229,312236.394,4835982.674,1.90E+18,1101,Listed,224066,483 BLOOR ST W,,"GALLANOUGH BLOCK; 1912-13, -ADOPTED BY CITY COUNCIL ON JUNE 5 AND 6, 1995",,,06-Jun-95,,,,,NA
4230,314921.161,4835956.57,1.90E+18,1101,Listed,224687,432 SHERBOURNE ST ,,"House, 1875 -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
4231,314925.982,4835931.07,1.90E+18,1101,Listed,224688,422 SHERBOURNE ST ,,"House, 1871 -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
4232,314936.159,4835903.491,1.90E+18,1101,Listed,224689,416-418 SHERBOURNE ST ,,"J.N. Lake House, 1881, now St. Leonard Hotel -adopted by City Council on May 6 & 7, 1982",,,06-May-82,,,,,NA
4233,314995.915,4835721.402,1.90E+18,1101,Listed,224695,380 SHERBOURNE ST ,,"House for A.M. Orpen, c.1900, Henry Simpson -adopted by City Council on Sept. 17, 1984",,,17-Sep-84,,,,,NA
4234,314700.591,4835810.908,1.90E+18,1102,Part IV,224700,441 JARVIS ST ,191-78,"A.J. Mason house; 1880-81, porch 1902, Bond & Smith, -adopted by City Council on June 9, 1976 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on March 28, 1978 (heritage easement agreement, Registered A976011, March 8/82)",28-Mar-78,,09-Jun-76,191-78,,,,NA
4235,314683.254,4835875.817,1.90E+18,1102,Part IV,224702,469 JARVIS ST ,475-75,"Semi-detached house, formerly part of 467 Jarvis Street",12-Nov-75,,20-Jun-73,475-75,,,,NA
4236,314675.213,4835902.483,1.90E+18,1102,Part IV,224703,471 JARVIS ST ,193-78,"Thomas Thompson House; 1874, later ""Elderslie"", residence of Hon. Alexander Morris -adopted by City Council on June 9, 1976 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on March 28, 1978 (heritage easement agreement, Registered A976011, March 8/82)",28-Mar-78,,09-Jun-76,193-78,,,,NA
4237,312053.692,4835280.823,1.90E+18,1102,Part IV,223523,395 MARKHAM ST ,677-01,"T.R. Earl Houses/Shaarei Tzedec Synagogue; 1890, semi detached house -adopted by City Council on April 23, 2001 DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON July 26, 2001",26-Jul-01,,23-Apr-01,677-01,,,,NA
4238,312291.56,4835780.085,1.90E+18,1101,Listed,224096,228 BRUNSWICK AVE ,,"James McMurray Building, 1875; adopted by City Council on Dec. 5, 6, 7, 2005",,,07-Dec-05,,,,,NA
4239,312368.887,4835664.264,1.90E+18,1101,Listed,224155,189 BRUNSWICK AVE ,,"Foresters' Hall; c.1890, later Bethel Mennonite Chapel. c.1945, Narayever Synagogue -adopted by City Council on March 15, 1974",,,15-Mar-74,,,,,NA
4240,312175.319,4834967.812,1904,1101,Listed,223662,456 COLLEGE ST ,,SEE 452 College Street,,,10-Dec-75,,,,,NA
4241,312274.868,4835983.041,1.90E+18,1101,Listed,224237,481 BLOOR ST W,,"Ye Olde Brunswick House; 1908,; 1935 extension to southwest rear, W. Hart; 1972 addition to southeast rear, Nightingale and Quigley -adopted by City Council on September 16 and 17, 1991",,,17-Sep-91,,,,,NA
4242,312159.033,4834963.338,1.90E+18,1101,Listed,223665,462 COLLEGE ST ,,"Empire Building, 1908; adopted by City Council on Feb 14, 2006",,,14-Feb-06,,,,,NA
4243,312153.927,4834956.071,1.90E+18,1101,Listed,223666,464 COLLEGE ST ,,"Empire Building, 1908; adopted by City Council on Feb. 14, 2006",,,14-Feb-06,,,,,NA
4244,312146.627,4834959.798,1.90E+18,1101,Listed,223667,466 COLLEGE ST ,,"Empire Building, 1908; adopted by City Council on Oct 26, 2005",,,26-Oct-05,,,,,NA
4245,312143.87,4834949.179,1.90E+18,1101,Listed,223668,468 COLLEGE ST ,,"Empire Building, 1908; adopted by City Council on Oct. 26, 2005",,,26-Oct-05,,,,,NA
4246,312388.496,4836014.9,1.90E+18,1102,Part IV,224309,427 BLOOR ST W,166-80,"Trinity United Church; 1889, Langley & Burke; Sunday School, Burke, Howrood & White, altered in 1927, Wickson & Gregg -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Feb. 4, 1980 Heritage Easement Agreement Registere",04-Feb-80,,20-Jun-73,166-80,,,,NA
4247,312415.37,4835996.751,1.90E+18,1103,Part V,224310,320 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4248,312416.009,4835991.282,1.90E+18,1103,Part V,224311,318 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4249,312418.445,4835986.976,1.90E+18,1103,Part V,224312,316 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4250,312418.929,4835980.695,1.90E+18,1103,Part V,224313,314 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4251,312422.354,4835977.538,1.90E+18,1103,Part V,224314,312 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4252,312423.438,4835972.104,1.90E+18,1103,Part V,224315,310 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4253,312426.074,4835966.968,1.90E+18,1103,Part V,224316,308 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4254,312426.566,4835962.075,1.90E+18,1103,Part V,224317,306 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4255,312427.707,4835956.859,1.90E+18,1103,Part V,224318,304 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4256,312428.45,4835951.813,1.90E+18,1103,Part V,224319,302 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4257,312431.305,4835946.977,1.90E+18,1103,Part V,224320,300 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4258,312433.258,4835943.772,1.90E+18,1103,Part V,224321,298 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4259,312434.149,4835932.411,1.90E+18,1103,Part V,224323,294 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4260,312439.218,4835926.512,1.90E+18,1103,Part V,224325,292 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4261,312438.164,4835919.55,1.90E+18,1103,Part V,224326,290 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4262,312439.604,4835914.196,1.90E+18,1103,Part V,224327,288 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4263,312441.671,4835910.215,1.90E+18,1103,Part V,224328,286 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4264,312442.221,4835902.652,1.90E+18,1103,Part V,224329,284 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4265,312444.473,4835899.211,1.90E+18,1103,Part V,224330,282 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4266,312446.385,4835894.616,1.90E+18,1103,Part V,224331,280 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4267,312447.42,4835890.855,1.90E+18,1103,Part V,224332,278 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4268,312447.184,4835885.629,1.90E+18,1103,Part V,224333,276 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4269,312447.849,4835879.63,1.90E+18,1103,Part V,224334,274 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4270,312449.007,4835874.653,1.90E+18,1103,Part V,224335,272 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4271,312451.802,4835870.178,1.90E+18,1103,Part V,224336,270 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4272,312450.557,4835866.642,1.90E+18,1103,Part V,224337,268 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4273,312454.437,4835860.571,1.90E+18,1103,Part V,224338,266 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4274,312453.388,4835856.658,1.90E+18,1103,Part V,224339,264 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4275,312455.34,4835849.968,1.90E+18,1103,Part V,224340,262 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4276,312456.738,4835845.535,1.90E+18,1103,Part V,224341,260 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4277,312459.936,4835841.614,1.90E+18,1103,Part V,224342,258 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4278,312459.124,4835838.257,1.90E+18,1103,Part V,224343,256 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4279,312462.526,4835832.369,1.90E+18,1103,Part V,224344,254 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4280,312463.889,4835826.912,1.90E+18,1103,Part V,224345,252 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4281,312415.318,4835824.63,1.90E+18,1101,Listed,224351,84 SUSSEX AVE ,,"William Stevens House, 1885;  adopted by City Council on Dec. 5, 6, 7, 2005",,,07-Dec-05,,,,,NA
4282,312472.742,4835800.932,1.90E+18,1103,Part V,224376,250 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
4283,312472.562,4835797.96,1.90E+18,1103,Part V,224377,248 ROBERT ST ,28-2011,"Part of the Harbord Village Phase 2 Heritage Conservation District.
Designation by-law enacted by City Council on December 16, 2010",,16-Dec-10,,,28-2011,Harbord Village Phase 2,,
